gamma1.1,,gamma1.01,,gamma1.05,,gamma1.3,,gamma1.5,,gamma1.8,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.3682393392727814,0.5242266414141417,14.3092681899211,0.7318943511198946,4.119036146130006,0.5878726119894598,0.7022817963726443,0.5458662714097497,0.4973137924119834,0.47931077075098816,0.12060620858851762,0.8397742712450594
2.6313109515852102,0.48440244839701374,15.896697235007318,0.6964344532279316,4.576591876315764,0.5480484189723321,0.7803576334037121,0.503314393939394,0.5525479200865926,0.440032114624506,0.1387395694389995,0.7992681571146246
2.923573367472984,0.4449419466403163,17.6613921514584,0.6587924077733862,5.084890789130951,0.5087697628458498,0.8670565095767635,0.4629446640316206,0.6138796272184648,0.4027537604303908,0.1568435510074382,0.7608078063241108
3.2479239794613535,0.40930020311813786,19.6232761688031,0.6189682147562583,5.64964389138483,0.46949110671936767,0.9633297023703877,0.4245752360562144,0.6819629859480079,0.3682030906895035,0.17424905097736776,0.7242568346508566
3.6720539951034117,0.36802124505928857,21.804167611099842,0.5775074110671937,6.276708606337458,0.4323945981554679,1.0702456338643942,0.38766057312252966,0.7710001977287565,0.32765151515151525,0.1935892843765927,0.6871603260869567
4.224310144024566,0.32628767292490124,24.225846229400403,0.5382287549407115,6.973028600972883,0.39693470026350464,1.209960526869493,0.3475636116600791,0.8868813812186772,0.2886456274703557,0.2150973374488603,0.6467905961791832
4.7102444186546935,0.2838994565217392,26.916488443786605,0.49895009881422936,7.883288121885576,0.35697412302371545,1.3919374649501104,0.3056936553030305,1.0380504352176176,0.24931241765480894,0.239002822876865,0.6053297924901186
5.88948092733507,0.24167490118577062,29.904983655069437,0.4607625164690383,9.068778273103707,0.31564970355731226,1.601040142616056,0.26886991518445313,1.2362473951797914,0.21025197628458514,0.2655607511996615,0.5644145256916997
6.892414801965115,0.20681509387351782,33.22419463753951,0.4236660079051384,10.699875245452144,0.2666119986092812,1.8737944454618605,0.2320734519104084,1.5420848046946407,0.16999135375494068,0.2950697892554265,0.5234992588932808
8.424539330768146,0.1691730484189724,36.90877795270412,0.38929718379446643,13.32326095286659,0.22127182147562596,2.231348895718618,0.19617712450592895,2.0145566007378317,0.1321674626701801,0.3278416983826785,0.48422060276679846
11.037060385061553,0.132894845191041,41.72599452546351,0.35001852766798425,16.427517093156794,0.18226593379446632,2.8320585423992832,0.15635293148880103,2.7563946792089067,0.09507095410628019,0.36425341770722264,0.4449419466403163
14.892420577752816,0.09732583992094868,48.00016469021383,0.3091032608695653,20.970012022585788,0.1440101593379446,3.859469514900087,0.11481419395821568,4.130238545248547,0.0656574234189724,0.4046692948121905,0.4089365118577075
22.53039716037062,0.06606657608695654,56.1861394416059,0.2672060276679842,28.69291725218869,0.10583621541501964,5.394625387311995,0.08234175999121662,6.176725086882269,0.04364500988142295,0.4495473647877303,0.37456768774703564
33.315237757837934,0.04479063735177857,65.75129444433738,0.23381916996047436,41.34989218809268,0.07447280362917708,7.974475374664269,0.05753282044042929,9.388405432079432,0.030061141304347894,0.5082083310799446,0.33610733695652173
51.436960571689724,0.030061141304347894,78.29810834997721,0.1978137351778657,60.61928435987451,0.05081634028027304,12.142556796251023,0.036880352437417496,14.12084658400168,0.019695940382081556,0.5845895448372693,0.2972378334980238
